ensembl_gene_id,Symbol,entrezgene_id,baseMean,logFC,lfcSE,stat,pvalue,FDR,description,gene_biotype,chromosome_name
ENSMUSG00000000028,Cdc45,12544,1908.810901,0.39195942,0.121071334,3.23742546,0.001206134,0.012318802,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073],protein_coding,16
ENSMUSG00000000056,Narf,67608,585.1188085,0.336264368,0.105500237,3.187332821,0.001435914,0.014172411,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858],protein_coding,11
ENSMUSG00000000148,Brat1,231841,562.7732358,-0.241517335,0.086823056,-2.781718884,0.005407185,0.03921323,BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679],protein_coding,5
ENSMUSG00000000223,Drp2,13497,94.1091076,-0.684467978,0.211409666,-3.237638043,0.001205236,0.012318802,dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432],protein_coding,X
ENSMUSG00000000253,Gmpr,66355,123.6355157,-0.413144094,0.151359602,-2.729553247,0.006342021,0.04450066,guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605],protein_coding,13
ENSMUSG00000000266,Mid2,23947,565.5548228,-0.629583035,0.205101606,-3.069615332,0.002143346,0.019281357,midline 2 [Source:MGI Symbol;Acc:MGI:1344333],protein_coding,X
ENSMUSG00000000303,Cdh1,12550,146.1447978,7.166975464,1.700917435,4.213593978,2.51E-05,0.000577249,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354],protein_coding,8
ENSMUSG00000000325,Arvcf,11877,392.1087893,-0.884869717,0.268981353,-3.289706548,0.001002919,0.010587171,armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620],protein_coding,16
ENSMUSG00000000346,Dazap2,23994,5762.236291,0.240364512,0.077677612,3.094385967,0.001972207,0.018200538,DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344],protein_coding,15
ENSMUSG00000000359,Rem1,19700,323.9463746,-0.520073347,0.185271013,-2.807095061,0.004999049,0.037067623,rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696],protein_coding,2
ENSMUSG00000000532,Acvr1b,11479,1606.967295,0.877537643,0.200521867,4.376269061,1.21E-05,0.000314464,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]",protein_coding,15
ENSMUSG00000000567,Sox9,20682,1220.57263,-0.555636451,0.127784986,-4.348213891,1.37E-05,0.000347229,SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371],protein_coding,11
ENSMUSG00000000628,Hk2,15277,1939.274241,1.104167582,0.188388643,5.861115429,4.60E-09,3.47E-07,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197],protein_coding,6
ENSMUSG00000000730,Dnmt3l,54427,88.16249694,0.996824587,0.348847116,2.85748267,0.00427016,0.032843172,DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287],protein_coding,10
ENSMUSG00000000823,Zfp512b,269401,1254.087528,-0.634297046,0.129306622,-4.905371718,9.33E-07,3.50E-05,zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478],protein_coding,2
ENSMUSG00000001020,S100a4,20198,3677.363978,-1.210082073,0.188533364,-6.418397508,1.38E-10,1.65E-08,S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282],protein_coding,3
ENSMUSG00000001025,S100a6,20200,18874.4078,-0.598612873,0.180776611,-3.311340279,0.000928502,0.00998518,S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467],protein_coding,3
ENSMUSG00000001036,Epn2,13855,2696.158731,0.492958204,0.148610228,3.317121644,0.0009095,0.009844966,epsin 2 [Source:MGI Symbol;Acc:MGI:1333766],protein_coding,11
ENSMUSG00000001062,Vps9d1,72325,630.7177767,-0.317632109,0.084909791,-3.740818419,0.000183422,0.002836383,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143],protein_coding,8
ENSMUSG00000001119,Col6a1,12833,14652.41876,-0.89184574,0.232558769,-3.834926311,0.000125602,0.002091676,"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]",protein_coding,10
ENSMUSG00000001127,Araf,11836,1954.266094,-0.127725379,0.042581071,-2.999581171,0.002703511,0.023004229,"Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]",protein_coding,X
ENSMUSG00000001131,Timp1,21857,6725.140655,0.835858832,0.267140356,3.128912629,0.001754545,0.016597792,tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752],protein_coding,X
ENSMUSG00000001134,Uxt,22294,364.0490633,0.31600375,0.109850551,2.876669678,0.004018961,0.031349317,ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988],protein_coding,X
ENSMUSG00000001157,Gmcl1,23885,998.7912554,-0.221847075,0.072907956,-3.042837657,0.002343587,0.020573103,"germ cell-less, spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1345156]",protein_coding,6
ENSMUSG00000001227,Sema6b,20359,181.6516682,1.13550038,0.407947522,2.783447178,0.005378462,0.039135072,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]",protein_coding,17
ENSMUSG00000001247,Lsr,54135,30.91180702,3.766128683,1.221414493,3.083415747,0.00204639,0.01866342,lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471],protein_coding,7
