ensembl_gene_id,Symbol,entrezgene_id,baseMean,logFC,lfcSE,stat,pvalue,FDR,description,gene_biotype,chromosome_name
ENSMUSG00000034634,Ly6d,17068,148.2595634,11.52892689,1.507589363,7.647259372,2.05E-14,4.43E-13,"lymphocyte antigen 6 complex, locus D [Source:MGI Symbol;Acc:MGI:96881]",protein_coding,15
ENSMUSG00000032013,Trim29,72169,75.82135452,10.11721915,1.534618509,6.592660712,4.32E-11,6.37E-10,tripartite motif-containing 29 [Source:MGI Symbol;Acc:MGI:1919419],protein_coding,9
ENSMUSG00000032744,Heyl,56198,177.7037881,9.867176763,1.475597795,6.686901266,2.28E-11,3.51E-10,hairy/enhancer-of-split related with YRPW motif-like [Source:MGI Symbol;Acc:MGI:1860511],protein_coding,4
ENSMUSG00000030789,Itgax,16411,43.58166066,9.801241949,1.553754268,6.308102993,2.82E-10,3.79E-09,integrin alpha X [Source:MGI Symbol;Acc:MGI:96609],protein_coding,7
ENSMUSG00000028238,Atp6v0d2,242341,48.15320128,9.644299103,1.572430216,6.133371774,8.60E-10,1.09E-08,"ATPase, H+ transporting, lysosomal V0 subunit D2 [Source:MGI Symbol;Acc:MGI:1924415]",protein_coding,4
ENSMUSG00000040907,Atp1a3,232975,86.05101715,8.994930078,1.489916297,6.037204971,1.57E-09,1.90E-08,"ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:MGI Symbol;Acc:MGI:88107]",protein_coding,7
ENSMUSG00000026418,Tnni1,21952,688.6092445,8.958043572,0.611575071,14.64749627,1.40E-48,2.32E-46,"troponin I, skeletal, slow 1 [Source:MGI Symbol;Acc:MGI:105073]",protein_coding,1
ENSMUSG00000026413,Pkp1,18772,723.4965769,8.880018764,0.555206673,15.99407787,1.41E-57,3.00E-55,plakophilin 1 [Source:MGI Symbol;Acc:MGI:1328359],protein_coding,1
ENSMUSG00000115018,Ndor1,NA,40.18690945,8.555531694,2.638874955,3.24211334,0.001186468,0.004707165,NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047],protein_coding,2
ENSMUSG00000026228,Htr2b,15559,92.70235441,8.547879038,1.496282973,5.712742304,1.11E-08,1.18E-07,5-hydroxytryptamine (serotonin) receptor 2B [Source:MGI Symbol;Acc:MGI:109323],protein_coding,1
ENSMUSG00000050138,Kcnk12,210741,31.77261341,8.509947335,1.562922427,5.44489425,5.18E-08,4.96E-07,"potassium channel, subfamily K, member 12 [Source:MGI Symbol;Acc:MGI:2684043]",protein_coding,17
ENSMUSG00000041482,Piezo2,667742,1273.953156,8.488220642,0.381412521,22.25469847,1.02E-109,7.09E-107,piezo-type mechanosensitive ion channel component 2 [Source:MGI Symbol;Acc:MGI:1918781],protein_coding,18
ENSMUSG00000024910,Ctsw,13041,377.0428537,8.403893084,0.765968186,10.97159547,5.23E-28,2.88E-26,cathepsin W [Source:MGI Symbol;Acc:MGI:1338045],protein_coding,19
ENSMUSG00000039385,Cdh6,12563,1001.681964,8.282258386,0.672428398,12.31693726,7.34E-35,6.28E-33,cadherin 6 [Source:MGI Symbol;Acc:MGI:107435],protein_coding,15
ENSMUSG00000021675,F2rl2,14064,29.16729911,8.222886926,1.566482971,5.24926672,1.53E-07,1.37E-06,coagulation factor II (thrombin) receptor-like 2 [Source:MGI Symbol;Acc:MGI:1298208],protein_coding,13
ENSMUSG00000053702,Nebl,74103,73.03046819,7.783042908,1.194662721,6.51484538,7.28E-11,1.04E-09,nebulette [Source:MGI Symbol;Acc:MGI:1921353],protein_coding,2
ENSMUSG00000024173,Tpsab1,100503895,13.09474213,7.773262113,1.980407564,3.925082016,8.67E-05,0.000457306,tryptase alpha/beta 1 [Source:MGI Symbol;Acc:MGI:96943],protein_coding,17
ENSMUSG00000064272,Gpbar1,227289,71.65808554,7.731564568,1.189551611,6.499562101,8.06E-11,1.14E-09,G protein-coupled bile acid receptor 1 [Source:MGI Symbol;Acc:MGI:2653863],protein_coding,1
ENSMUSG00000061397,Krt79,223917,19.94506406,7.726577479,1.634010978,4.728595821,2.26E-06,1.66E-05,keratin 79 [Source:MGI Symbol;Acc:MGI:2385030],protein_coding,15
ENSMUSG00000039462,Col10a1,12813,174.2754106,7.646767936,0.609618384,12.54353238,4.31E-36,3.94E-34,"collagen, type X, alpha 1 [Source:MGI Symbol;Acc:MGI:88445]",protein_coding,10
ENSMUSG00000030745,Il21r,60504,19.36748524,7.625747832,1.694937178,4.499133025,6.82E-06,4.54E-05,interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475],protein_coding,7
ENSMUSG00000029765,Plxna4,243743,1522.281957,7.572795906,0.291578016,25.97176568,1.03E-148,1.37E-145,plexin A4 [Source:MGI Symbol;Acc:MGI:2179061],protein_coding,6
ENSMUSG00000029236,Nmu,56183,404.1813657,7.544738248,0.526299209,14.33545427,1.31E-46,1.98E-44,neuromedin U [Source:MGI Symbol;Acc:MGI:1860476],protein_coding,5
ENSMUSG00000046167,Gldn,235379,44.53996185,7.534470237,1.185615269,6.354903176,2.09E-10,2.82E-09,gliomedin [Source:MGI Symbol;Acc:MGI:2388361],protein_coding,9
ENSMUSG00000025475,Adgra1,52389,108.6533969,7.485088471,0.911925586,8.20800358,2.25E-16,5.79E-15,adhesion G protein-coupled receptor A1 [Source:MGI Symbol;Acc:MGI:1277167],protein_coding,7
ENSMUSG00000042734,Ttc9,69480,557.3806806,7.471319752,0.386463684,19.33252736,2.86E-83,1.12E-80,tetratricopeptide repeat domain 9 [Source:MGI Symbol;Acc:MGI:1916730],protein_coding,12
ENSMUSG00000048752,Prss50,235631,15.22530953,7.35465366,1.672555495,4.397255387,1.10E-05,6.95E-05,"protease, serine 50 [Source:MGI Symbol;Acc:MGI:2447303]",protein_coding,9
ENSMUSG00000022382,Wnt7b,22422,90.46051297,7.346447848,1.493993396,4.917322839,8.77E-07,6.89E-06,"wingless-type MMTV integration site family, member 7B [Source:MGI Symbol;Acc:MGI:98962]",protein_coding,15
ENSMUSG00000031962,Cdh15,12555,92.0534171,7.244440417,0.862609921,8.398280897,4.53E-17,1.25E-15,cadherin 15 [Source:MGI Symbol;Acc:MGI:106672],protein_coding,8
ENSMUSG00000032281,Acsbg1,94180,960.0528,7.198838845,0.330836076,21.75953397,5.61E-105,3.38E-102,acyl-CoA synthetase bubblegum family member 1 [Source:MGI Symbol;Acc:MGI:2385656],protein_coding,9
ENSMUSG00000031952,Chst5,56773,19.27462843,6.847844837,1.607681816,4.259452816,2.05E-05,0.000123581,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:1931825],protein_coding,8
ENSMUSG00000041782,Lad1,16763,102.3264211,6.83512712,0.896832417,7.621409516,2.51E-14,5.37E-13,ladinin [Source:MGI Symbol;Acc:MGI:109343],protein_coding,1
ENSMUSG00000078249,Hmga1b,111241,13.42168035,6.721681679,2.181555563,3.081141636,0.002062085,0.007650833,high mobility group AT-hook 1B [Source:MGI Symbol;Acc:MGI:96161],protein_coding,11
ENSMUSG00000033006,Sox10,20665,24.57957745,6.686526032,1.589613909,4.206383699,2.59E-05,0.000153072,SRY (sex determining region Y)-box 10 [Source:MGI Symbol;Acc:MGI:98358],protein_coding,15
ENSMUSG00000049719,Prss46,74306,44.17960925,6.591576377,1.168639132,5.640386495,1.70E-08,1.75E-07,"protease, serine 46 [Source:MGI Symbol;Acc:MGI:1921556]",protein_coding,9
ENSMUSG00000019987,Arg1,11846,19.26294475,6.584941053,1.609625709,4.090976565,4.30E-05,0.000241879,"arginase, liver [Source:MGI Symbol;Acc:MGI:88070]",protein_coding,10
ENSMUSG00000021950,Anxa8,11752,1699.928282,6.573367727,0.61448683,10.6973289,1.05E-26,5.30E-25,annexin A8 [Source:MGI Symbol;Acc:MGI:1201374],protein_coding,14
ENSMUSG00000114635,Gm49392,NA,32.90270515,6.526915456,1.352310946,4.826490145,1.39E-06,1.05E-05,"predicted gene, 49392 [Source:MGI Symbol;Acc:MGI:6121621]",protein_coding,13
ENSMUSG00000034159,Mab21l4,71874,8.946156276,6.506279086,1.893120314,3.436801686,0.000588626,0.002549724,mab-21-like 4 [Source:MGI Symbol;Acc:MGI:1919124],protein_coding,1
ENSMUSG00000022321,Cdh10,320873,167.9822425,6.42946765,0.533027237,12.06217469,1.67E-33,1.30E-31,cadherin 10 [Source:MGI Symbol;Acc:MGI:107436],protein_coding,15
ENSMUSG00000041700,Lhfpl1,237091,15.10775446,6.337634398,1.685263825,3.760618548,0.000169494,0.000837049,lipoma HMGIC fusion partner-like 1 [Source:MGI Symbol;Acc:MGI:1891214],protein_coding,X
ENSMUSG00000053025,Sv2b,64176,31.94379198,6.243509381,1.038176549,6.013918716,1.81E-09,2.17E-08,synaptic vesicle glycoprotein 2 b [Source:MGI Symbol;Acc:MGI:1927338],protein_coding,7
ENSMUSG00000028339,Col15a1,12819,3261.299916,6.220773245,0.443708258,14.01996274,1.18E-44,1.62E-42,"collagen, type XV, alpha 1 [Source:MGI Symbol;Acc:MGI:88449]",protein_coding,4
ENSMUSG00000048521,Cxcr6,80901,17.54922093,6.217479145,1.676631137,3.70831664,0.000208642,0.00101006,chemokine (C-X-C motif) receptor 6 [Source:MGI Symbol;Acc:MGI:1934582],protein_coding,9
ENSMUSG00000037482,Erv3,71995,9.930951336,6.135162832,1.811822284,3.38618356,0.00070872,0.002997472,endogenous retroviral sequence 3 [Source:MGI Symbol;Acc:MGI:1919245],protein_coding,2
ENSMUSG00000030162,Olr1,108078,569.4450368,6.015414603,0.691442437,8.699805335,3.32E-18,1.01E-16,oxidized low density lipoprotein (lectin-like) receptor 1 [Source:MGI Symbol;Acc:MGI:1261434],protein_coding,6
ENSMUSG00000054889,Dsp,109620,81.40597428,6.009340715,0.653141289,9.200674976,3.56E-20,1.21E-18,desmoplakin [Source:MGI Symbol;Acc:MGI:109611],protein_coding,13
ENSMUSG00000056258,Kcnq3,110862,29.02630237,6.009207479,1.183424424,5.077812625,3.82E-07,3.19E-06,"potassium voltage-gated channel, subfamily Q, member 3 [Source:MGI Symbol;Acc:MGI:1336181]",protein_coding,15
ENSMUSG00000070687,Htr1d,15552,21.92036702,5.976401679,1.232172179,4.850297534,1.23E-06,9.43E-06,5-hydroxytryptamine (serotonin) receptor 1D [Source:MGI Symbol;Acc:MGI:96276],protein_coding,4
ENSMUSG00000052316,Lrrc15,74488,122.249114,5.95486698,0.53805606,11.06737275,1.81E-28,1.03E-26,leucine rich repeat containing 15 [Source:MGI Symbol;Acc:MGI:1921738],protein_coding,16
ENSMUSG00000049436,Upk1b,22268,7.658298693,5.851988628,1.946810152,3.00593698,0.002647639,0.009492683,uroplakin 1B [Source:MGI Symbol;Acc:MGI:98912],protein_coding,16
ENSMUSG00000026414,Tnnt2,21956,445.3195105,5.758237185,0.318763209,18.06430927,6.09E-73,2.02E-70,"troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]",protein_coding,1
ENSMUSG00000058914,C1qtnf3,81799,1556.513296,5.703630908,0.168585546,33.83226517,6.62E-251,4.39E-247,C1q and tumor necrosis factor related protein 3 [Source:MGI Symbol;Acc:MGI:1932136],protein_coding,15
ENSMUSG00000032172,Olfm2,244723,599.7042387,5.69632864,0.331437335,17.18674401,3.34E-66,9.83E-64,olfactomedin 2 [Source:MGI Symbol;Acc:MGI:3045350],protein_coding,9
ENSMUSG00000031872,Bean1,65115,53.42641699,5.658409372,0.824243888,6.864969764,6.65E-12,1.07E-10,"brain expressed, associated with Nedd4, 1 [Source:MGI Symbol;Acc:MGI:1929597]",protein_coding,8
ENSMUSG00000042254,Cilp,214425,92.69463634,5.647773649,0.641381935,8.805632558,1.30E-18,4.05E-17,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:MGI Symbol;Acc:MGI:2444507]",protein_coding,9
ENSMUSG00000030110,Ret,19713,935.2997796,5.64537691,0.194155201,29.0766195,7.09E-186,1.57E-182,ret proto-oncogene [Source:MGI Symbol;Acc:MGI:97902],protein_coding,6
ENSMUSG00000024593,Megf10,70417,5246.696226,5.598743312,0.352919704,15.8640712,1.12E-56,2.22E-54,multiple EGF-like-domains 10 [Source:MGI Symbol;Acc:MGI:2685177],protein_coding,18
ENSMUSG00000026639,Lamb3,16780,114.130336,5.580442598,0.577253882,9.667224032,4.15E-22,1.60E-20,"laminin, beta 3 [Source:MGI Symbol;Acc:MGI:99915]",protein_coding,1
ENSMUSG00000030827,Fgf21,56636,97.39437136,5.573301855,0.688150001,8.098963662,5.54E-16,1.39E-14,fibroblast growth factor 21 [Source:MGI Symbol;Acc:MGI:1861377],protein_coding,7
ENSMUSG00000037605,Adgrl3,319387,79.61103145,5.520069806,1.500946286,3.677726417,0.000235322,0.001125251,adhesion G protein-coupled receptor L3 [Source:MGI Symbol;Acc:MGI:2441950],protein_coding,5
ENSMUSG00000083012,Fam220a,67238,132.5650204,5.495050074,1.796532806,3.058697318,0.002223016,0.008160089,"family with sequence similarity 220, member A [Source:MGI Symbol;Acc:MGI:1914488]",protein_coding,5
ENSMUSG00000070564,Ntn5,243967,115.6781177,5.458619238,0.49635585,10.99739075,3.93E-28,2.19E-26,netrin 5 [Source:MGI Symbol;Acc:MGI:2685330],protein_coding,7
ENSMUSG00000049382,Krt8,16691,6.256658785,5.314099315,2.042870083,2.60129088,0.009287367,0.027813838,keratin 8 [Source:MGI Symbol;Acc:MGI:96705],protein_coding,15
ENSMUSG00000030000,Add2,11519,825.1780957,5.235287946,0.231786258,22.58670551,5.86E-113,4.57E-110,adducin 2 (beta) [Source:MGI Symbol;Acc:MGI:87919],protein_coding,6
ENSMUSG00000049128,Ivl,16447,28.40098573,5.219319427,1.060884306,4.91978192,8.66E-07,6.81E-06,involucrin [Source:MGI Symbol;Acc:MGI:96626],protein_coding,3
ENSMUSG00000029093,Sorcs2,81840,463.3357488,5.215051119,0.312775127,16.67348416,2.04E-62,5.11E-60,sortilin-related VPS10 domain containing receptor 2 [Source:MGI Symbol;Acc:MGI:1932289],protein_coding,5
ENSMUSG00000075604,Cyp11b1,110115,26.101329,5.196891487,1.042562615,4.984728409,6.20E-07,5.04E-06,"cytochrome P450, family 11, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88583]",protein_coding,15
ENSMUSG00000037681,Esyt3,272636,16.80746104,5.010013282,1.050031876,4.771296372,1.83E-06,1.36E-05,extended synaptotagmin-like protein 3 [Source:MGI Symbol;Acc:MGI:1098699],protein_coding,9
ENSMUSG00000039109,F13a1,74145,28.09840418,4.966122835,1.020863951,4.864627483,1.15E-06,8.81E-06,"coagulation factor XIII, A1 subunit [Source:MGI Symbol;Acc:MGI:1921395]",protein_coding,13
ENSMUSG00000029307,Dmp1,13406,67.36283716,4.964654316,0.608330831,8.16110916,3.32E-16,8.46E-15,dentin matrix protein 1 [Source:MGI Symbol;Acc:MGI:94910],protein_coding,5
ENSMUSG00000056270,Prr9,109314,33.51175077,4.964385659,1.109645874,4.473846814,7.68E-06,5.02E-05,proline rich 9 [Source:MGI Symbol;Acc:MGI:1925680],protein_coding,3
ENSMUSG00000033213,AA467197,433470,588.5121417,4.893250597,0.251445687,19.46046744,2.38E-84,9.84E-82,expressed sequence AA467197 [Source:MGI Symbol;Acc:MGI:3034182],protein_coding,2
ENSMUSG00000036523,Greb1,268527,272.1586393,4.8092961,0.302413681,15.90303748,6.04E-57,1.23E-54,gene regulated by estrogen in breast cancer protein [Source:MGI Symbol;Acc:MGI:2149712],protein_coding,12
ENSMUSG00000033685,Ucp2,22228,2047.278267,4.683215363,0.228159536,20.52605582,1.26E-93,6.68E-91,"uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]",protein_coding,7
ENSMUSG00000030325,Klrb1c,17059,18.18446605,4.665747538,1.086883572,4.292775838,1.76E-05,0.000107932,killer cell lectin-like receptor subfamily B member 1C [Source:MGI Symbol;Acc:MGI:107538],protein_coding,6
ENSMUSG00000050558,Prokr2,246313,11.64050531,4.645106958,1.776641224,2.614544172,0.008934661,0.026952419,prokineticin receptor 2 [Source:MGI Symbol;Acc:MGI:2181363],protein_coding,2
ENSMUSG00000040086,Tnni3k,435766,29.72285112,4.541790183,0.898263877,5.056187049,4.28E-07,3.55E-06,TNNI3 interacting kinase [Source:MGI Symbol;Acc:MGI:2443276],protein_coding,3
ENSMUSG00000042190,Cmklr1,14747,863.497626,4.530525136,0.252670754,17.93054822,6.81E-72,2.20E-69,chemokine-like receptor 1 [Source:MGI Symbol;Acc:MGI:109603],protein_coding,5
ENSMUSG00000020681,Ace,11421,1035.63235,4.527867508,0.197478082,22.92845601,2.42E-116,2.00E-113,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:MGI Symbol;Acc:MGI:87874],protein_coding,11
ENSMUSG00000047230,Cldn2,12738,15.97668606,4.517036044,1.099560485,4.108037809,3.99E-05,0.000226131,claudin 2 [Source:MGI Symbol;Acc:MGI:1276110],protein_coding,X
ENSMUSG00000042367,Gjb3,14620,238.0932694,4.465762662,0.351267223,12.71329169,4.99E-37,4.97E-35,"gap junction protein, beta 3 [Source:MGI Symbol;Acc:MGI:95721]",protein_coding,4
ENSMUSG00000034486,Gbx2,14472,9.138449745,4.457995405,1.396085691,3.193210442,0.001407004,0.005467556,gastrulation brain homeobox 2 [Source:MGI Symbol;Acc:MGI:95668],protein_coding,1
ENSMUSG00000015134,Aldh1a3,56847,424.3010641,4.431078172,0.389258775,11.38337388,5.06E-30,3.18E-28,"aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]",protein_coding,7
ENSMUSG00000034488,Edil3,13612,245.3708343,4.369284803,0.37638598,11.60852166,3.73E-31,2.50E-29,EGF-like repeats and discoidin I-like domains 3 [Source:MGI Symbol;Acc:MGI:1329025],protein_coding,13
ENSMUSG00000054342,Kcnn4,16534,258.3282252,4.34713766,0.329934058,13.17577725,1.21E-39,1.34E-37,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 [Source:MGI Symbol;Acc:MGI:1277957]",protein_coding,7
ENSMUSG00000047496,Rnf152,320311,17.29157222,4.339421349,1.140294183,3.805527918,0.000141502,0.000708044,ring finger protein 152 [Source:MGI Symbol;Acc:MGI:2443787],protein_coding,1
ENSMUSG00000025407,Gli1,14632,57.94576078,4.321092189,0.535741288,8.065632212,7.29E-16,1.81E-14,GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727],protein_coding,10
ENSMUSG00000020000,Moxd1,59012,30.81267332,4.310053824,0.785863326,5.484482709,4.15E-08,4.03E-07,"monooxygenase, DBH-like 1 [Source:MGI Symbol;Acc:MGI:1921582]",protein_coding,10
ENSMUSG00000052981,Ube2ql1,76980,107.6451643,4.215576909,0.407748555,10.33866794,4.71E-25,2.06E-23,ubiquitin-conjugating enzyme E2Q family-like 1 [Source:MGI Symbol;Acc:MGI:1924230],protein_coding,13
ENSMUSG00000004098,Col5a3,53867,3793.458347,4.177027348,0.142919276,29.22647984,8.94E-188,2.37E-184,"collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]",protein_coding,9
ENSMUSG00000004885,Crabp2,12904,291.1472437,4.142621144,0.287043199,14.43204772,3.25E-47,5.01E-45,cellular retinoic acid binding protein II [Source:MGI Symbol;Acc:MGI:88491],protein_coding,3
ENSMUSG00000000303,Cdh1,12550,9.387845793,4.141696647,1.35150119,3.064515723,0.002180227,0.008029706,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354],protein_coding,8
ENSMUSG00000052085,Dock8,76088,834.7908349,4.076155044,0.229313244,17.77548898,1.09E-70,3.45E-68,dedicator of cytokinesis 8 [Source:MGI Symbol;Acc:MGI:1921396],protein_coding,19
ENSMUSG00000042793,Lgr6,329252,834.8585498,4.055339923,0.173726769,23.34320697,1.62E-120,1.43E-117,leucine-rich repeat-containing G protein-coupled receptor 6 [Source:MGI Symbol;Acc:MGI:2441805],protein_coding,1
ENSMUSG00000017639,Rab11fip4,268451,114.69092,3.981529331,0.475034814,8.381552712,5.22E-17,1.43E-15,RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920],protein_coding,11
